"Sources: Current Population Survey, Bureau of Labor Statistics, and Federal Reserve Bank of Atlanta Calculations. 
Data updates can be found at https://www.frbatlanta/chcs/wage-growth-tracker. 
See the 'definitions' tab in this spreadsheet for explanations of series.  Wage computed on an hourly basis unless otherwise noted.  Reported as 3-month moving averages of monthly series",,,,,,,,,,,,2/13/2023,,,,
date,Unweighted Overall,Services,Full-time,College degree,Prime-age,Female,Male,Job Stayer,Job Switcher,Paid Hourly,Weighted Overall,Weighted 97 Overall,Unweighted Overall: Weekly Basis,25/20 trimmed mean,Lower 1/2 of wage distn,Upper 1/2 of wage distn
2/1/2001,5.3,5.2,5.3,5.5,5.3,5.2,5.3,4.9,5.8,4.9,5.5,5.5,5.4,5.2,5.5,5
3/1/2001,5.3,5.3,5.3,5.3,5.2,5.2,5.3,5,5.6,4.9,5.5,5.5,5.4,5.1,5.6,4.8
4/1/2001,5.3,5.4,5.3,5.4,5.3,5.4,5.2,5.2,5.4,5.1,5.6,5.6,5.4,5.1,5.8,4.6
5/1/2001,5.1,5.2,5.2,5.4,4.9,5.2,5,4.9,5.3,4.9,5.4,5.4,5.1,4.9,5.5,4.6
6/1/2001,5.2,5.3,5.4,5.8,5.2,5.2,5.2,4.9,5.8,4.8,5.5,5.5,5.2,5,5.3,5.1
7/1/2001,5.1,5.2,5.3,6,5.1,4.9,5.3,4.5,6.2,4.6,5.5,5.5,5.2,5,5,5.3
8/1/2001,5.2,5.4,5.4,5.9,5.4,5.2,5.3,4.7,6.5,5,5.5,5.5,5.6,5.1,5.2,5.3
9/1/2001,5,5.3,5.1,5.4,5.1,5.1,5,4.7,5.8,5,5.3,5.2,5.4,4.9,5,5.1
10/1/2001,5,5.3,5.2,5.5,5,5.2,4.9,4.8,5.6,5,5.1,5.1,5.4,4.9,5.1,5
11/1/2001,5,5,5.1,5.5,5,4.9,5,4.9,5.2,4.8,5,5,4.8,4.8,5,4.9
12/1/2001,5,5,5.2,5.5,5,5,4.9,4.7,5.7,4.7,4.9,5,4.8,4.8,5,4.9
1/1/2002,4.9,4.9,5,5.1,4.9,4.9,4.7,4.6,5.5,4.7,4.9,4.9,4.6,4.6,4.8,4.9
2/1/2002,4.7,4.9,4.7,4.8,4.7,5,4.2,4.3,5.4,4.5,4.7,4.7,4.6,4.5,4.6,4.7
3/1/2002,4.6,4.9,4.6,4.8,4.7,5,4,4.3,4.9,4.3,4.5,4.5,4.4,4.5,4.4,4.6
4/1/2002,4.3,4.6,4.4,4.7,4.4,4.7,3.9,4.1,4.5,4.1,4.3,4.3,4.3,4.2,4.2,4.4
5/1/2002,4.4,4.5,4.5,5,4.4,4.5,4.2,4.3,4.5,4,4.4,4.3,4.6,4.2,4.2,4.5
6/1/2002,4.2,4.3,4.3,5.1,4,4.3,4.1,4.1,4.4,4.1,4.5,4.4,4.5,3.9,4.1,4.4
7/1/2002,4.1,4.3,4.3,5.2,4.1,4.3,4.1,4.1,4.2,3.8,4.3,4.3,4.4,3.9,3.9,4.5
8/1/2002,4,4.2,4.2,4.8,3.9,4.1,4,3.9,4.2,3.9,4.3,4.2,3.9,3.8,3.8,4.3
9/1/2002,3.9,4.1,4.1,4.2,3.9,3.9,3.9,3.9,4,3.8,4.1,4.1,3.8,3.7,3.8,4.1
10/1/2002,3.8,4,4,4,3.8,3.9,3.7,3.8,3.9,3.8,4,4,3.9,3.6,3.8,3.9
11/1/2002,3.5,3.7,3.7,3.8,3.6,3.8,3.2,3.6,3.5,3.6,3.5,3.5,3.9,3.2,3.7,3.5
12/1/2002,3.6,3.8,3.7,4,3.7,3.8,3.3,3.7,3.5,3.7,3.5,3.5,4,3.3,3.7,3.5
1/1/2003,3.7,4,3.8,4.2,3.8,3.9,3.5,3.7,3.8,3.9,3.7,3.7,4.1,3.5,3.8,3.7
2/1/2003,3.9,4.2,3.9,4.2,3.9,3.9,3.9,3.9,4,4,3.9,4,4.1,3.7,3.9,4
3/1/2003,3.7,4,3.8,4.2,3.8,3.8,3.6,3.7,3.8,3.7,3.8,3.8,3.9,3.5,3.7,3.8
4/1/2003,3.5,3.6,3.6,3.8,3.6,3.6,3.4,3.4,3.7,3.5,3.7,3.7,3.6,3.3,3.5,3.5
5/1/2003,3.5,3.7,3.6,4.1,3.6,3.7,3.4,3.4,3.7,3.5,3.7,3.7,3.6,3.3,3.4,3.6
6/1/2003,3.6,3.8,3.7,4.1,3.7,3.6,3.6,3.4,3.9,3.6,3.8,3.8,3.4,3.4,3.3,3.9
7/1/2003,3.7,3.9,3.8,4.2,3.8,3.8,3.6,3.6,3.9,3.5,3.7,3.7,3.6,3.5,3.4,4
8/1/2003,3.5,3.8,3.7,3.9,3.5,3.6,3.4,3.4,3.7,3.3,3.6,3.6,3.5,3.3,3.4,3.6
9/1/2003,3.5,3.7,3.6,3.9,3.6,3.7,3.2,3.5,3.4,3.2,3.5,3.5,3.8,3.3,3.5,3.5
10/1/2003,3.4,3.6,3.6,3.6,3.5,3.7,3,3.5,3.2,3.2,3.5,3.5,3.8,3.2,3.5,3.2
11/1/2003,3.4,3.5,3.5,3.6,3.5,3.7,3,3.5,3.1,3.3,3.3,3.4,3.7,3.2,3.6,3.1
12/1/2003,3.3,3.4,3.5,3.6,3.4,3.5,3.1,3.4,3.1,3.1,3.3,3.3,3.6,3.1,3.4,3.2
1/1/2004,3.3,3.4,3.5,3.6,3.4,3.4,3.3,3.4,3,3.1,3.3,3.4,3.6,3,3.3,3.4
2/1/2004,3.4,3.5,3.5,3.7,3.5,3.4,3.4,3.4,3.2,3.1,3.5,3.5,3.7,3.1,3.2,3.5
3/1/2004,3.4,3.5,3.5,3.6,3.5,3.4,3.4,3.3,3.6,3.2,3.4,3.5,3.6,3.2,3.3,3.4
4/1/2004,3.4,3.5,3.5,3.6,3.4,3.3,3.5,3.2,3.7,3.2,3.3,3.3,3.8,3.2,3.4,3.3
5/1/2004,3.4,3.5,3.5,3.5,3.4,3.3,3.6,3.2,3.8,3.2,3.3,3.3,3.8,3.3,3.2,3.6
6/1/2004,3.3,3.4,3.4,3.5,3.4,3.4,3.2,3.2,3.6,3.1,3.3,3.3,3.8,3.2,3.2,3.4
7/1/2004,3.4,3.5,3.5,3.7,3.5,3.5,3.3,3.2,3.8,3.2,3.5,3.4,3.7,3.4,3.3,3.4
8/1/2004,3.5,3.5,3.6,3.7,3.5,3.7,3.3,3.3,3.8,3.3,3.5,3.4,3.7,3.4,3.6,3.3
9/1/2004,3.7,3.7,3.8,3.9,3.6,3.6,3.8,3.6,3.7,3.4,3.8,3.8,3.9,3.6,3.8,3.6
10/1/2004,3.7,3.7,3.9,3.9,3.6,3.5,3.9,3.7,3.7,3.2,3.7,3.7,3.9,3.5,3.7,3.7
11/1/2004,3.7,3.8,3.8,4,3.7,3.5,3.9,3.5,4,3.3,3.7,3.7,4.1,3.6,3.8,3.5
12/1/2004,3.5,3.7,3.8,4.1,3.6,3.6,3.6,3.3,4,3.2,3.3,3.3,4.2,3.3,3.5,3.5
1/1/2005,3.6,3.8,3.8,4,3.7,3.6,3.7,3.4,4,3.3,3.5,3.4,4.1,3.5,3.6,3.7
2/1/2005,3.5,3.6,3.8,3.7,3.7,3.4,3.8,3.5,3.6,3.3,3.4,3.4,3.9,3.4,3.3,3.8
3/1/2005,3.6,3.7,3.7,3.6,3.8,3.5,3.7,3.6,3.6,3.4,3.6,3.7,4,3.5,3.4,3.7
4/1/2005,3.5,3.6,3.7,3.7,3.6,3.5,3.5,3.5,3.6,3.5,3.5,3.6,3.9,3.3,3.3,3.7
5/1/2005,3.6,3.7,3.8,3.9,3.7,3.7,3.6,3.6,3.7,3.5,3.6,3.6,3.9,3.4,3.6,3.7
6/1/2005,3.8,3.8,4,4.2,3.8,3.6,4,3.8,3.7,3.5,3.7,3.7,4,3.6,3.6,4.1
7/1/2005,4,3.9,4.2,4.6,4,3.8,4.3,4,3.9,3.7,3.9,3.9,4.1,3.8,3.7,4.3
8/1/2005,4,4,4.2,4.7,4,3.9,4.3,4,4.2,3.8,4,4,4.2,4,4,4.2
9/1/2005,4.1,4,4.2,4.7,4.1,3.9,4.4,3.9,4.5,3.9,3.9,4,4.1,4.1,4,4.2
10/1/2005,4,4,4.1,4.6,4.1,3.9,4.3,3.9,4.2,3.8,4,4.1,4.2,4.1,4.1,4.1
11/1/2005,4.2,4.2,4.3,4.8,4.3,4.1,4.3,3.9,4.5,3.8,4.2,4.3,4.5,4.2,4,4.4
12/1/2005,4.1,4.3,4.2,4.1,4.1,4.1,4.1,4,4.3,3.7,4.3,4.4,4.4,4,4.1,4
1/1/2006,4,4.3,4.1,4,4,4.1,3.9,3.9,4.4,3.7,4.2,4.3,4.4,3.9,4.2,3.8
2/1/2006,3.8,4,3.8,3.8,3.8,3.8,3.8,3.7,4,3.6,3.9,4,3.9,3.6,3.9,3.7
3/1/2006,3.8,3.9,3.9,4.1,3.9,3.7,3.9,3.8,4,3.7,4,4,4.2,3.7,3.8,3.8
4/1/2006,3.8,3.9,3.9,4.1,3.9,3.7,4,3.8,4,3.6,3.9,3.9,4.2,3.7,3.7,3.9
5/1/2006,3.9,3.9,4,4.1,4.1,3.6,4.1,3.7,4.3,3.7,3.9,4,4.4,3.7,3.8,4
6/1/2006,3.8,3.8,4,3.9,3.9,3.6,3.9,3.5,4.4,3.7,3.8,3.9,4.1,3.6,3.8,3.8
7/1/2006,3.7,3.6,3.9,3.7,3.8,3.6,3.8,3.3,4.6,3.7,3.8,3.9,3.9,3.5,3.7,3.7
8/1/2006,3.8,3.8,4,3.8,3.8,3.8,3.8,3.5,4.4,3.7,4,4.1,4.2,3.7,3.9,3.8
9/1/2006,3.8,3.9,4.1,3.8,3.9,3.9,3.9,3.5,4.4,3.6,4,4.1,4.2,3.7,3.8,4
10/1/2006,3.8,3.9,4.1,4,3.8,3.8,3.9,3.6,4.2,3.6,4,4.1,4.3,3.6,3.7,3.9
11/1/2006,3.9,4.1,4.1,4.2,4,4.1,3.8,3.6,4.4,3.8,4.2,4.2,4.2,3.7,3.8,4.2
12/1/2006,4,4.1,4.1,4.2,4,4,4.2,3.8,4.5,4.1,4.2,4.3,4.4,3.8,4.2,4
1/1/2007,4.2,4.3,4.3,4.5,4.2,4.2,4.5,4,4.6,4.2,4.4,4.5,4.6,4.1,4.5,4.1
2/1/2007,4.1,4.1,4.2,4.2,4.1,3.8,4.5,3.9,4.5,4.1,4.2,4.3,4.4,4,4.3,3.8
3/1/2007,4.3,4.3,4.4,4.5,4.3,4.1,4.4,4,4.8,4.1,4.5,4.5,4.6,4.2,4.3,4.2
4/1/2007,4.1,4.2,4.2,4.2,4.1,4.1,4.1,3.9,4.7,4,4.4,4.4,4.4,4.1,4.2,4.1
5/1/2007,4.1,4.1,4.3,4.3,4,4,4.2,3.7,4.9,3.9,4.4,4.4,4.4,4.1,4.3,3.9
6/1/2007,4,4,4.2,4.2,4,4,4,3.7,4.7,3.7,4.1,4.1,4.1,4,4,3.9
7/1/2007,4.2,4.2,4.4,4.5,4.2,4.2,4.2,3.8,5,3.9,4.4,4.4,4.4,4.2,4.3,4
8/1/2007,4.3,4.3,4.5,4.4,4.4,4.5,4.2,4.1,4.9,4,4.6,4.6,4.4,4.4,4.5,4.2
9/1/2007,4.4,4.5,4.6,4.6,4.4,4.4,4.4,4.2,4.8,4.1,4.8,4.9,4.7,4.4,4.6,4.2
10/1/2007,4.3,4.4,4.5,4.4,4.3,4.2,4.5,4.2,4.8,4.1,4.6,4.7,4.6,4.4,4.4,4.2
11/1/2007,4.3,4.4,4.4,4.6,4.2,4,4.5,4.2,4.4,4,4.6,4.6,4.6,4.2,4.2,4.2
12/1/2007,4.1,4,4.2,4.1,4.1,3.9,4.3,4.1,4.1,4,4.4,4.5,4.6,4.1,4.3,3.9
1/1/2008,3.9,3.8,4,3.9,3.9,3.8,4,3.8,4,3.8,4.2,4.4,4.5,3.9,4.1,3.8
2/1/2008,3.9,3.8,4.1,4.1,3.9,3.9,4,3.8,4.2,3.8,4.1,4.3,4.5,3.8,4,3.9
3/1/2008,4,3.8,4,4.2,3.9,4.1,3.8,3.8,4.2,3.7,4.1,4.2,4.3,3.8,3.9,4
4/1/2008,4.1,4,4.2,4.7,4.1,4.3,4,4,4.3,3.8,4.3,4.4,4.3,4.1,4,4.1
5/1/2008,4.1,4.1,4.2,4.6,4.1,4.2,4,4,4.2,3.6,4.4,4.5,4.1,4.1,4,4
6/1/2008,4.1,4.2,4.2,4.5,4.1,4,4.3,4,4.4,3.7,4.4,4.5,4.1,4.1,4.3,4
7/1/2008,4.1,4.2,4.2,4.1,4,4,4.1,4,4.3,3.8,4.3,4.4,4,4,4.3,3.9
8/1/2008,4,4.2,4.1,4,4,4,4.1,3.9,4.3,3.9,4.1,4.2,4,3.9,4.3,3.9
9/1/2008,4,4.1,4.1,4.2,4,4,4,3.9,4.3,3.8,4,3.9,4,3.9,4,4
10/1/2008,4,4.2,4.2,4.5,4.1,4,4,3.9,4.2,3.7,3.9,3.8,3.9,3.9,3.8,4.1
11/1/2008,4,4.1,4.2,4.5,4.1,4,4,3.9,4.1,3.7,3.8,3.7,3.8,3.9,3.8,4.2
12/1/2008,3.8,4,4.1,4.3,3.9,3.7,4,3.8,3.8,3.6,3.7,3.7,3.7,3.7,3.6,4.1
1/1/2009,3.7,3.6,3.9,3.9,3.7,3.5,3.8,3.6,3.6,3.5,3.5,3.6,3.5,3.4,3.4,3.9
2/1/2009,3.4,3.3,3.6,3.5,3.4,3.3,3.5,3.4,3.4,3.2,3.3,3.4,3.2,3.1,3.2,3.6
3/1/2009,3.3,3.2,3.4,3.3,3.2,3.4,3.1,3.3,3.1,3.2,3.2,3.3,2.9,3,3.2,3.3
4/1/2009,3.2,3.2,3.3,3.4,3.2,3.4,2.9,3.3,3,2.9,3.1,3.2,2.6,3,3.3,3
5/1/2009,3.3,3.4,3.4,3.2,3.2,3.6,2.9,3.4,3.1,3,3.2,3.3,2.7,3.1,3.4,3
6/1/2009,3.1,3.2,3.2,3.1,3.1,3.4,2.6,3.3,2.5,2.9,3,3.1,2.3,2.9,3.3,2.8
7/1/2009,3,3.1,3,2.7,2.9,3.3,2.4,3,2.4,2.9,2.9,3,2.1,2.7,3.1,2.7
8/1/2009,2.5,2.7,2.6,2.7,2.5,2.7,1.9,2.7,1.6,2.5,2.2,2.2,1.2,2.2,2.4,2.5
9/1/2009,2.3,2.5,2.4,2.7,2.3,2.5,2,2.5,1.8,2.4,2.2,2.2,1.1,2.2,2.3,2.3
10/1/2009,2.1,2.2,2.1,2.6,2.2,2.3,1.8,2.4,1.5,2.3,2.1,2.1,1,1.9,2,2.1
11/1/2009,2.1,2.2,2.2,2.2,2.3,2.2,2,2.4,1.7,2.3,2.4,2.4,1.6,2,2.1,2.1
12/1/2009,1.7,1.8,1.9,1.8,1.9,1.7,1.8,2,1.4,1.9,1.9,2,1.5,1.8,1.6,1.9
1/1/2010,1.6,1.7,1.8,1.5,1.8,1.7,1.5,1.9,1.2,1.8,1.6,1.8,1.1,1.7,1.5,1.7
2/1/2010,1.7,1.8,1.8,1.8,1.7,1.8,1.5,1.8,1.4,1.6,1.7,1.8,1.3,1.7,1.5,1.8
3/1/2010,1.9,2.1,2,2,1.9,1.9,1.8,1.9,1.7,1.8,2,2.1,1.7,1.9,1.8,1.9
4/1/2010,1.9,2.1,2,2.3,2,2,1.6,1.9,1.8,1.7,2,2,2.2,1.9,1.5,2.2
5/1/2010,1.6,1.8,1.7,2.2,1.9,1.8,1.4,1.7,1.6,1.6,1.6,1.8,1.9,1.8,1.3,1.9
6/1/2010,1.7,1.9,1.8,2.4,2.1,2,1.4,1.8,1.7,1.6,1.7,1.9,1.7,1.9,1.5,1.8
7/1/2010,1.8,1.9,1.8,2.1,1.9,1.8,1.8,1.7,1.8,1.5,1.8,1.9,1.8,1.9,1.8,1.7
8/1/2010,2,2.1,2.1,2.1,2,2.1,1.6,1.9,2,1.7,2.1,2.1,2.2,2,1.9,1.9
9/1/2010,1.9,2,2,1.9,2,2.1,1.5,1.8,2.1,1.6,1.9,2,2.3,1.9,1.7,2
10/1/2010,1.7,1.9,1.7,1.9,1.9,1.7,1.4,1.4,2.1,1.6,1.7,1.8,2,1.7,1.6,1.7
11/1/2010,1.7,1.8,1.7,1.9,1.8,1.5,1.8,1.3,2.1,1.7,1.6,1.7,1.8,1.7,1.8,1.5
12/1/2010,1.7,1.7,1.7,1.9,1.7,1.5,1.8,1.3,2.2,1.7,1.6,1.7,1.9,1.8,1.4,1.6
1/1/2011,1.9,1.8,1.9,2.1,1.9,2,1.8,1.6,2.4,1.7,1.8,1.8,2.4,2.1,1.5,2.1
2/1/2011,1.9,1.9,2.1,2.3,1.9,2.1,1.8,1.6,2.4,1.6,1.8,1.9,2.5,2.1,1.6,2.2
3/1/2011,1.9,1.9,2.1,2.3,2.1,2.1,1.7,1.7,2.2,1.6,1.9,1.9,2.4,2,1.9,2
4/1/2011,1.9,1.8,2.2,2,2.1,1.9,1.9,1.9,1.9,1.8,1.9,2,2.2,2,1.9,1.9
5/1/2011,2,1.9,2.2,2.2,2.1,1.8,2.3,1.9,2.4,1.8,1.9,2.1,2.3,2.2,1.9,2.2
6/1/2011,2,2,2.3,2.3,2.1,1.6,2.5,1.8,2.5,1.6,1.9,1.8,2.3,2.1,1.6,2.3
7/1/2011,2.1,2.1,2.3,2.5,2.3,1.8,2.4,1.9,2.7,1.7,1.9,2,2.6,2.2,1.8,2.4
8/1/2011,2.2,2.2,2.3,2.5,2.5,2,2.3,2.1,2.3,1.9,1.9,2,2.7,2.3,1.7,2.4
9/1/2011,2.1,2,2.2,2.1,2.4,2.1,2.1,2,2.1,2,1.9,2.1,2.7,2.2,2,2.1
10/1/2011,2.2,2.1,2.3,2.4,2.4,2,2.4,1.9,2.3,1.9,2,2.1,2.5,2.3,1.9,2.3
11/1/2011,2,1.9,2.1,2.2,2.2,1.8,2.2,1.7,2.2,1.7,2.1,2.3,2.2,2.1,1.8,2.1
12/1/2011,2,1.9,2.3,2.3,2.3,1.8,2.4,1.8,2.2,1.8,2.1,2.4,2.3,2.1,1.8,2.2
1/1/2012,1.9,1.8,2.2,1.9,2.4,1.8,2.2,1.8,2.1,1.8,2.1,2.5,2.4,2,1.8,2.1
2/1/2012,1.9,1.8,2.3,1.9,2.4,1.7,2.3,1.8,2.3,1.8,2,2.4,2.3,2,2,2
3/1/2012,2,1.8,2.4,2.1,2.5,1.8,2.3,1.8,2.2,1.8,2.1,2.4,2.4,2,2,2
4/1/2012,2.2,2,2.5,2.5,2.6,2,2.4,2,2.5,1.9,2.1,2.3,2.4,2.3,2.1,2.3
5/1/2012,2.1,1.9,2.4,2.3,2.4,2.1,2.2,2.1,1.9,1.9,2,2.2,2.4,2.4,2.1,2.1
6/1/2012,2.3,2.1,2.6,2.2,2.4,2.4,2.2,2,2.6,2,2.2,2.4,2.4,2.6,2.2,2.2
7/1/2012,2.1,1.9,2.4,1.9,2.2,2.2,2,2,2.3,1.9,2.2,2.4,2.4,2.5,2.2,1.9
8/1/2012,2.1,2,2.4,2,2.2,2.1,2.2,1.7,2.9,1.9,2,2.3,2.6,2.4,2.2,1.9
9/1/2012,2.1,2.1,2.4,2.2,2.3,1.9,2.5,1.9,2.6,1.9,2,2.3,3,2.3,2.1,2.1
10/1/2012,2.1,2.1,2.4,2.3,2.3,1.9,2.5,1.9,2.5,1.8,2.1,2.2,2.9,2.3,2.1,2.1
11/1/2012,2.3,2.2,2.7,2.6,2.4,2.2,2.4,2,2.7,1.9,2.4,2.5,2.8,2.3,2.2,2.5
12/1/2012,2.3,2.3,2.6,2.6,2.5,2.4,2.2,1.9,2.8,1.9,2.4,2.4,2.4,2.4,2.2,2.5
1/1/2013,2.3,2.3,2.7,2.8,2.6,2.3,2.5,2,2.8,2,2.2,2.2,2.4,2.4,2.2,2.6
2/1/2013,2.3,2.2,2.7,2.9,2.7,2,2.7,2.1,2.6,1.9,2.2,2.2,2.6,2.5,1.8,2.9
3/1/2013,2.2,2,2.6,2.9,2.6,1.9,2.7,2,2.5,1.9,2.3,2.4,2.6,2.4,1.7,2.8
4/1/2013,2.2,2,2.6,2.7,2.6,2,2.4,1.8,2.7,1.9,2.3,2.5,2.6,2.3,1.7,2.7
5/1/2013,2.2,2.1,2.5,2.7,2.4,2.1,2.5,1.8,2.9,2.1,2.1,2.3,2.5,2.3,1.9,2.5
6/1/2013,2.1,2,2.4,2.6,2.3,1.9,2.4,1.6,2.8,1.8,2,2.1,2.6,2.2,1.8,2.4
7/1/2013,2.3,2.1,2.5,2.6,2.4,2,2.7,1.9,2.9,1.9,2.2,2.3,2.7,2.4,2.1,2.5
